,Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,Duration,Volume_Mm3,DamHeight_m,StorageCapacity_MWh,DateIn,DateRetrofit,DateOut,lat,lon,EIC,projectID,bus
12,Kidatu,Hydro,Reservoir,PP,TZ,200.0,,,0.0,0.0,0.0,1975.0,1975.0,2075.0,-7.6367,36.8866,{nan},"{'GHPT': {'G603596'}, 'GEO': {'GEO-40355'}, 'GPD': {'WRI1019867'}}",179
13,Vanderkloof,Hydro,Reservoir,PP,ZA,240.0,,,0.0,0.0,0.0,1976.0,1976.0,2076.0,-29.9911,24.7317,{nan},"{'GHPT': {'G603356'}, 'GEO': {'GEO-5911'}, 'GPD': {'WRI1000136'}}",645
14,Palmiet,Hydro,Pumped Storage,Store,ZA,400.0,,,0.0,0.0,0.0,1988.0,1988.0,2088.0,-34.1985,18.9746,{nan},"{'GHPT': {'G603353'}, 'GEO': {'GEO-4683'}, 'GPD': {'WRI1000132'}}",476
15,Gariep,Hydro,Reservoir,PP,ZA,360.0,,,0.0,0.0,0.0,1971.0,1971.0,2071.0,-30.6233,25.5067,{nan},"{'GHPT': {'G603351'}, 'GEO': {'GEO-3269'}, 'GPD': {'WRI1000121'}}",642
16,Drakensberg,Hydro,Pumped Storage,Store,ZA,1000.0,,,0.0,0.0,0.0,1981.0,1981.0,2081.0,-28.566,29.0834,{nan},"{'GHPT': {'G603350'}, 'GEO': {'GEO-2974'}, 'GPD': {'WRI1000120'}}",496
17,Ruacana,Hydro,Reservoir,PP,NA,332.0,,,0.0,0.0,0.0,1978.0,1978.0,2078.0,-17.3859,14.2161,{nan},"{'GHPT': {'G604133'}, 'GEO': {'GEO-40392'}, 'GPD': {'WRI1023133'}}",1301
18,Capanda,Hydro,Reservoir,PP,AO,520.0,,,0.0,0.0,0.0,1999.0,1999.0,2099.0,-9.7933,15.4635,{nan},"{'GHPT': {'G600015'}, 'GEO': {'GEO-2537'}, 'GPD': {'WRI1023004'}}",1
19,Tedzani Falls,Hydro,Reservoir,PP,MW,121.0,,,0.0,0.0,0.0,1972.0,2007.0,2107.0,-15.5598,34.7765,{nan},"{'GHPT': {'G602463'}, 'GEO': {'GEO-40389'}, 'GPD': {'WRI1023105'}}",309
20,Cahora Bassa,Hydro,Reservoir,PP,MZ,2075.0,,,0.0,0.0,0.0,1974.0,1974.0,2074.0,-15.5859,32.7047,{nan},"{'GHPT': {'G602539'}, 'GEO': {'GEO-40382'}, 'GPD': {'WRI1000110'}}",2316
21,Morupule,Hard Coal,Steam Turbine,PP,BW,732.0,,,0.0,0.0,0.0,1986.0,1986.0,2031.0,-22.52091455,27.0429167,"{nan, nan, nan, nan, nan, nan, nan, nan}","{'GCPT': {'G107024', 'G107022', 'G107025', 'G107023', 'G107028', 'G107027', 'G107026', 'G107021'}, 'GEO': {'GEO-4377', 'GEO-45237'}, 'GPD': {'WRI1023017'}}",78
22,Lethabo,Hard Coal,Steam Turbine,PP,ZA,3708.0,,,0.0,0.0,0.0,1985.0,1985.0,2030.0,-26.7420315,27.9768917,"{nan, nan, nan, nan, nan, nan}","{'GCPT': {'G106242', 'G106241', 'G106240', 'G106243', 'G106245', 'G106244'}, 'GEO': {'GEO-4035'}, 'GPD': {'WRI1000128'}}",459
23,Maamba,Hard Coal,Steam Turbine,PP,ZM,300.0,,,0.0,0.0,0.0,2016.0,2016.0,2061.0,-17.3527223,27.1859398,"{nan, nan}","{'GCPT': {'G106531', 'G106530'}, 'GEO': {'GEO-46611'}, 'GPD': {'WRI1022376'}}",2367
24,Tutuka,Hard Coal,Steam Turbine,PP,ZA,3654.0,,,0.0,0.0,0.0,1985.0,1985.0,2030.0,-26.7771561,29.3523764,"{nan, nan, nan, nan, nan, nan}","{'GCPT': {'G110399', 'G110397', 'G110400', 'G110401', 'G110398', 'G110396'}, 'GEO': {'GEO-5813'}, 'GPD': {'WRI1000135'}}",773
